"","Feature   ","rho   ","p-value   ","FDR   "
"529","LCN2",-0.88,"6.92e-21","6.94e-18"
"403","SOD2",-0.81,"3.83e-15","1.92e-12"
"473","CEBPD",-0.81,"5.75e-15","1.92e-12"
"260","CXCL3",-0.77,"7.34e-13","1.67e-10"
"983","ID1",-0.77,"8.35e-13","1.67e-10"
"804","IL32",-0.75,"4.17e-12","6.97e-10"
"994","PI3",-0.74,"1.34e-11","1.91e-09"
"186","CCL20",-0.74,"1.73e-11","2.17e-09"
"259","CXCL1",-0.74,"2.16e-11","2.40e-09"
"359","TRIM31",-0.73,"2.89e-11","2.90e-09"
"392","NCOA7",-0.73,"3.5e-11","3.19e-09"
"261","CXCL2",-0.73,"4.02e-11","3.36e-09"
"134","HK2",-0.71,"1.76e-10","1.28e-08"
"743","GPX2",-0.71,"1.78e-10","1.28e-08"
"862","NOS2",-0.7,"4.64e-10","3.06e-08"
"377","TNFRSF21",-0.7,"4.89e-10","3.06e-08"
"73","MUC1",-0.69,"8.34e-10","4.92e-08"
"497","TRIB1",-0.69,"1.16e-09","6.49e-08"
"365","CFB",-0.68,"1.87e-09","9.85e-08"
"246","S100P",-0.68,"1.99e-09","9.97e-08"
"324","SPINK1",-0.67,"4.15e-09","1.98e-07"
"756","CKB",-0.67,"6.05e-09","2.76e-07"
"957","CEACAM1",-0.66,"7.66e-09","3.34e-07"
"739","ERO1A",-0.66,"9.16e-09","3.83e-07"
"746","FOS",-0.65,"2.38e-08","9.50e-07"
"263","AREG",-0.65,"2.47e-08","9.50e-07"
"350","TDP2",-0.65,"2.56e-08","9.50e-07"
"754","WARS",-0.64,"3.7e-08","1.33e-06"
"522","BSPRY",-0.64,"4.82e-08","1.67e-06"
"65","SELENBP1",-0.63,"6.07e-08","2.03e-06"
"503","C8orf33",-0.62,"9.88e-08","3.14e-06"
"532","ASS1",-0.62,"1e-07","3.14e-06"
"223","MUC13",-0.61,"1.94e-07","5.89e-06"
"911","SOCS3",-0.61,"2.37e-07","7.00e-06"
"121","LRATD1",-0.6,"3.23e-07","9.25e-06"
"752","VRK1",-0.6,"3.52e-07","9.79e-06"
"916","SLC16A3",-0.6,"4.75e-07","1.29e-05"
"118","ID2",-0.59,"5.78e-07","1.51e-05"
"955","CEACAM7",-0.59,"5.86e-07","1.51e-05"
"521","KLF4",-0.59,"6.17e-07","1.55e-05"
"947","FXYD3",-0.59,"6.53e-07","1.60e-05"
"268","PLAC8",-0.59,"7.63e-07","1.82e-05"
"368","TAP1",-0.59,"8.1e-07","1.89e-05"
"384","PRDM1",-0.59,"8.66e-07","1.97e-05"
"382","ME1",-0.58,"1.12e-06","2.49e-05"
"273","SLC39A8",-0.57,"1.55e-06","3.39e-05"
"679","NR4A1",-0.57,"1.68e-06","3.58e-05"
"84","ATP1B1",-0.57,"1.86e-06","3.89e-05"
"372","C6orf132",-0.57,"2.14e-06","4.38e-05"
"1015","BACE2",-0.57,"2.19e-06","4.39e-05"
"440","NAMPT",-0.57,"2.29e-06","4.51e-05"
"101","CD55",-0.56,"3.48e-06","6.71e-05"
"903","JPT1",-0.56,"3.78e-06","7.15e-05"
"913","ALYREF",-0.55,"4.2e-06","7.81e-05"
"262","EREG",-0.55,"5.02e-06","9.16e-05"
"780","C2CD4A",-0.54,"6.75e-06","1.21e-04"
"480","LACTB2",-0.54,"6.91e-06","1.22e-04"
"124","XDH",-0.54,"7.11e-06","1.23e-04"
"1007","STMN3",-0.54,"7.28e-06","1.24e-04"
"915","FASN",-0.54,"7.41e-06","1.24e-04"
"450","AHCYL2",-0.54,"7.61e-06","1.25e-04"
"579","DMBT1",-0.54,"1.03e-05","1.67e-04"
"506","LURAP1L",-0.54,"1.05e-05","1.67e-04"
"998","DNTTIP1",-0.53,"1.07e-05","1.67e-04"
"177","FN1",0.53,"1.18e-05","1.82e-04"
"215","HHLA2",-0.53,"1.34e-05","2.03e-04"
"232","TM4SF1",-0.53,"1.47e-05","2.21e-04"
"615","PLAAT3",-0.52,"1.69e-05","2.50e-04"
"970","TRIB3",-0.52,"1.76e-05","2.56e-04"
"891","NME1",-0.52,"1.79e-05","2.56e-04"
"846","SLC7A5",-0.52,"2.33e-05","3.30e-04"
"290","SORBS2",0.52,"2.44e-05","3.40e-04"
"499","NDRG1",-0.51,"2.73e-05","3.75e-04"
"4","ERRFI1",-0.51,"2.77e-05","3.75e-04"
"772","SORD",-0.51,"2.93e-05","3.92e-04"
"807","SOCS1",-0.51,"3.11e-05","4.10e-04"
"476","SDCBP",-0.5,"4.03e-05","5.25e-04"
"773","DUOX2",-0.5,"4.18e-05","5.37e-04"
"974","CDC25B",-0.5,"4.62e-05","5.86e-04"
"67","S100A9",-0.5,"4.67e-05","5.86e-04"
"356","HIST1H2BH",-0.5,"5.04e-05","6.24e-04"
"732","NFKBIA",-0.5,"5.21e-05","6.37e-04"
"991","MYBL2",-0.5,"5.33e-05","6.45e-04"
"765","ARHGAP11A",-0.5,"5.42e-05","6.47e-04"
"369","KIFC1",-0.49,"7.01e-05","8.27e-04"
"817","NUPR1",-0.49,"7.88e-05","9.12e-04"
"474","MCM4",-0.49,"7.91e-05","9.12e-04"
"477","GGH",-0.49,"8.22e-05","9.37e-04"
"909","TK1",-0.48,"8.71e-05","9.82e-04"
"806","CIITA",-0.48,"9.17e-05","1.01e-03"
"178","IGFBP2",-0.48,"9.21e-05","1.01e-03"
"21","IFI6",-0.48,"9.25e-05","1.01e-03"
"1004","AURKA",-0.48,"1.25e-04","1.35e-03"
"71","CKS1B",-0.47,"1.28e-04","1.36e-03"
"937","DNAJB1",-0.47,"1.34e-04","1.42e-03"
"695","OAS1",-0.47,"1.38e-04","1.44e-03"
"151","TMEM37",-0.47,"1.41e-04","1.45e-03"
"565","C10orf99",-0.47,"1.51e-04","1.54e-03"
"333","ATP10B",-0.47,"1.66e-04","1.68e-03"
"650","OR8D4",0.47,"1.77e-04","1.78e-03"
"611","MS4A12",-0.46,"1.9e-04","1.89e-03"
"688","LGR5",0.46,"2e-04","1.97e-03"
"500","PTP4A3",-0.46,"2.07e-04","2.01e-03"
"698","TESC",-0.46,"2.08e-04","2.01e-03"
"958","PLAUR",-0.46,"2.2e-04","2.09e-03"
"651","OR4D5",0.46,"2.21e-04","2.09e-03"
"988","TGM2",-0.46,"2.23e-04","2.09e-03"
"367","PSMB9",-0.46,"2.43e-04","2.25e-03"
"1061","SLC6A8",-0.45,"2.81e-04","2.59e-03"
"47","GBP1",-0.45,"2.88e-04","2.62e-03"
"106","ATF3",-0.45,"2.9e-04","2.62e-03"
"38","TACSTD2",-0.45,"3.26e-04","2.92e-03"
"141","FABP1",-0.45,"3.66e-04","3.25e-03"
"979","JAG1",-0.44,"3.78e-04","3.33e-03"
"972","SNRPB",-0.44,"3.86e-04","3.36e-03"
"677","TUBA1C",-0.44,"4.38e-04","3.78e-03"
"176","CASP10",-0.44,"4.43e-04","3.80e-03"
"515","PRUNE2",-0.44,"4.63e-04","3.94e-03"
"782","PCLAF",-0.44,"4.7e-04","3.96e-03"
"272","H2AFZ",-0.44,"4.9e-04","4.09e-03"
"328","CD74",-0.44,"4.93e-04","4.09e-03"
"1049","ACE2",-0.44,"4.97e-04","4.09e-03"
"31","TSPAN1",-0.44,"5.03e-04","4.10e-03"
"237","NAALADL2",0.44,"5.14e-04","4.15e-03"
"859","AURKB",-0.43,"5.32e-04","4.27e-03"
"716","LMO7",-0.43,"5.41e-04","4.31e-03"
"144","FHL2",-0.43,"5.59e-04","4.41e-03"
"379","BAG2",-0.43,"5.95e-04","4.66e-03"
"556","CDK1",-0.43,"6.14e-04","4.77e-03"
"172","SLC40A1",-0.43,"6.47e-04","4.95e-03"
"687","TSPAN8",-0.43,"6.49e-04","4.95e-03"
"357","HIST1H1B",-0.43,"6.52e-04","4.95e-03"
"7","EPHA2",-0.43,"6.8e-04","5.13e-03"
"32","PDZK1IP1",-0.43,"7.07e-04","5.29e-03"
"103","LAMB3",-0.42,"7.56e-04","5.61e-03"
"898","AXIN2",-0.42,"7.88e-04","5.78e-03"
"28","SLC2A1",-0.42,"7.94e-04","5.78e-03"
"510","PRSS3",-0.42,"7.96e-04","5.78e-03"
"690","DUSP6",-0.42,"8.18e-04","5.90e-03"
"731","EGLN3",-0.42,"8.27e-04","5.92e-03"
"614","PLAAT4",-0.42,"8.52e-04","6.06e-03"
"72","EFNA1",-0.42,"8.8e-04","6.22e-03"
"798","JPT2",-0.42,"9.04e-04","6.34e-03"
"398","TNFAIP3",-0.42,"9.31e-04","6.49e-03"
"914","PYCR1",-0.42,"9.5e-04","6.57e-03"
"351","HIST1H1C",-0.41,"9.77e-04","6.71e-03"
"407","FAM20C",0.41,"1.06e-03","7.26e-03"
"603","UBE2L6",-0.41,"1.07e-03","7.26e-03"
"537","TUBB4B",-0.41,"1.1e-03","7.39e-03"
"779","GCNT3",-0.41,"1.11e-03","7.42e-03"
"1008","RTEL1",-0.41,"1.14e-03","7.57e-03"
"538","NRARP",-0.41,"1.15e-03","7.57e-03"
"1000","PLTP",-0.41,"1.16e-03","7.61e-03"
"1054","TIMP1",-0.41,"1.19e-03","7.76e-03"
"163","PDK1",-0.41,"1.28e-03","8.27e-03"
"348","CD83",-0.41,"1.3e-03","8.36e-03"
"187","PID1",-0.41,"1.32e-03","8.41e-03"
"233","MME",0.4,"1.39e-03","8.82e-03"
"655","ST3GAL4",-0.4,"1.51e-03","9.55e-03"
"901","GPRC5C",-0.4,"1.6e-03","1.01e-02"
"337","STC2",-0.4,"1.66e-03","1.03e-02"
"597","EHF",-0.4,"1.72e-03","1.07e-02"
"206","SEMA3B",-0.4,"1.75e-03","1.08e-02"
"674","MGST1",-0.4,"1.76e-03","1.08e-02"
"114","EXO1",-0.39,"1.83e-03","1.11e-02"
"691","LUM",0.39,"1.84e-03","1.11e-02"
"713","OLFM4",-0.39,"1.86e-03","1.11e-02"
"961","FOSB",-0.39,"1.93e-03","1.15e-02"
"373","VEGFA",-0.39,"1.94e-03","1.15e-02"
"910","BIRC5",-0.39,"2.1e-03","1.24e-02"
"1006","PMEPA1",-0.39,"2.13e-03","1.25e-02"
"811","TMC5",-0.39,"2.19e-03","1.28e-02"
"294","AMACR",0.39,"2.3e-03","1.33e-02"
"535","TMEM141",-0.39,"2.32e-03","1.33e-02"
"616","BATF2",-0.39,"2.36e-03","1.35e-02"
"448","HILPDA",-0.38,"2.39e-03","1.36e-02"
"738","PTGDR",0.38,"2.4e-03","1.36e-02"
"226","RUVBL1",-0.38,"2.48e-03","1.40e-02"
"755","TNFAIP2",-0.38,"2.76e-03","1.54e-02"
"298","HMGCS1",-0.38,"2.79e-03","1.56e-02"
"813","PLK1",-0.38,"2.84e-03","1.58e-02"
"663","C1R",-0.38,"2.88e-03","1.59e-02"
"435","BAIAP2L1",-0.38,"2.96e-03","1.62e-02"
"657","NCAPD3",-0.38,"2.97e-03","1.62e-02"
"213","CMSS1",-0.38,"3.07e-03","1.66e-02"
"264","PARM1",-0.37,"3.18e-03","1.72e-02"
"877","CDC6",-0.37,"3.2e-03","1.72e-02"
"573","SCD",-0.37,"3.24e-03","1.73e-02"
"231","PLOD2",-0.37,"3.28e-03","1.74e-02"
"360","IER3",-0.37,"3.31e-03","1.75e-02"
"315","LMNB1",-0.37,"3.33e-03","1.75e-02"
"821","DCTPP1",-0.37,"3.38e-03","1.76e-02"
"625","LRRC32",-0.37,"3.43e-03","1.78e-02"
"495","ATAD2",-0.37,"3.54e-03","1.83e-02"
"516","PSAT1",-0.37,"3.63e-03","1.86e-02"
"984","TPX2",-0.37,"3.63e-03","1.86e-02"
"890","COL1A1",0.37,"3.7e-03","1.88e-02"
"243","MELTF",-0.37,"3.8e-03","1.92e-02"
"985","E2F1",-0.37,"3.8e-03","1.92e-02"
"140","KDM3A",-0.37,"3.99e-03","2.00e-02"
"778","CCNB2",-0.37,"4.12e-03","2.05e-02"
"479","SULF1",0.36,"4.19e-03","2.08e-02"
"249","PROM1",-0.36,"4.3e-03","2.11e-02"
"317","TCF7",-0.36,"4.3e-03","2.11e-02"
"775","C15orf48",-0.36,"4.38e-03","2.14e-02"
"378","MCM3",-0.36,"4.44e-03","2.16e-02"
"182","SGPP2",-0.36,"4.48e-03","2.17e-02"
"190","ARL4C",-0.36,"4.8e-03","2.30e-02"
"993","TOMM34",-0.36,"4.8e-03","2.30e-02"
"195","PPARG",-0.36,"4.95e-03","2.36e-02"
"174","STAT1",-0.36,"5.12e-03","2.43e-02"
"1050","SH3KBP1",-0.36,"5.2e-03","2.46e-02"
"374","CLIC5",-0.35,"5.51e-03","2.60e-02"
"91","PLA2G4A",-0.35,"5.63e-03","2.64e-02"
"1042","CENPM",-0.35,"5.68e-03","2.65e-02"
"692","DCN",0.35,"5.72e-03","2.65e-02"
"336","DUSP1",-0.35,"5.88e-03","2.72e-02"
"436","CYP3A5",-0.35,"5.97e-03","2.75e-02"
"478","RRS1",-0.35,"6.1e-03","2.79e-02"
"482","FABP5",-0.35,"6.23e-03","2.84e-02"
"1047","MXRA5",-0.35,"6.31e-03","2.87e-02"
"148","BUB1",-0.35,"6.56e-03","2.97e-02"
"519","ANP32B",-0.35,"6.63e-03","2.98e-02"
"558","HKDC1",-0.35,"6.71e-03","3.01e-02"
"393","SOGA3",-0.35,"6.8e-03","3.03e-02"
"96","UBE2T",-0.34,"7e-03","3.11e-02"
"554","PRKG1",-0.34,"7.14e-03","3.15e-02"
"241","CLDN1",-0.34,"7.26e-03","3.18e-02"
"667","A2M",0.34,"7.29e-03","3.18e-02"
"540","PFKFB3",-0.34,"7.3e-03","3.18e-02"
"236","ECT2",-0.34,"7.47e-03","3.23e-02"
"838","CENPN",-0.34,"7.47e-03","3.23e-02"
"291","NKD2",-0.34,"7.76e-03","3.34e-02"
"788","BCL2A1",-0.34,"8.07e-03","3.46e-02"
"13","C1QA",0.34,"8.34e-03","3.56e-02"
"571","HELLS",-0.34,"8.48e-03","3.60e-02"
"959","APOE",0.34,"8.63e-03","3.65e-02"
"575","COL17A1",-0.33,"8.98e-03","3.78e-02"
"9","RNF186",-0.33,"9.03e-03","3.78e-02"
"1014","PCP4",-0.33,"9.04e-03","3.78e-02"
"702","CDX2",-0.33,"9.09e-03","3.78e-02"
"803","TNFRSF12A",-0.33,"9.47e-03","3.93e-02"
"950","PPP1R14A",-0.33,"9.62e-03","3.97e-02"
"875","PPP1R1B",-0.33,"9.99e-03","4.11e-02"
"629","MMP7",-0.33,"1.01e-02","4.11e-02"
"671","GUCY2C",-0.33,"1.01e-02","4.11e-02"
"620","GAL",-0.33,"1.06e-02","4.29e-02"
"878","TOP2A",-0.32,"1.15e-02","4.65e-02"
"138","SFTPB",-0.32,"1.16e-02","4.66e-02"
"391","PKIB",-0.32,"1.16e-02","4.67e-02"
"275","CCNA2",-0.32,"1.17e-02","4.69e-02"
"696","OAS3",-0.32,"1.2e-02","4.77e-02"
"827","MMP2",0.32,"1.2e-02","4.77e-02"
"722","COL4A1",0.32,"1.22e-02","4.82e-02"
"904","MYO15B",0.32,"1.22e-02","4.81e-02"
"409","CYP2W1",0.32,"1.23e-02","4.84e-02"
"442","SLC26A3",-0.32,"1.28e-02","5.01e-02"
"20","SFN",-0.32,"1.3e-02","5.04e-02"
"107","PROX1",0.32,"1.37e-02","5.30e-02"
"996","SDC4",-0.32,"1.37e-02","5.30e-02"
"203","PFKFB4",-0.31,"1.46e-02","5.60e-02"
"617","CDCA5",-0.31,"1.52e-02","5.81e-02"
"949","TYROBP",0.31,"1.52e-02","5.81e-02"
"774","DUOXA2",-0.31,"1.54e-02","5.85e-02"
"714","DIAPH3",-0.31,"1.59e-02","6.00e-02"
"531","WDR34",-0.31,"1.62e-02","6.05e-02"
"553","DEPP1",-0.31,"1.62e-02","6.05e-02"
"673","ARHGDIB",-0.31,"1.62e-02","6.05e-02"
"918","TYMS",-0.31,"1.62e-02","6.05e-02"
"1045","CSF2RA",-0.31,"1.63e-02","6.06e-02"
"973","CENPB",-0.31,"1.65e-02","6.12e-02"
"170","COL3A1",0.31,"1.67e-02","6.17e-02"
"586","MUC5B",-0.31,"1.77e-02","6.50e-02"
"23","LAPTM5",0.3,"1.84e-02","6.72e-02"
"637","NXPE1",-0.3,"1.88e-02","6.86e-02"
"922","APCDD1",-0.3,"1.92e-02","6.97e-02"
"46","CLCA4",-0.3,"1.94e-02","7.01e-02"
"161","SPC25",-0.3,"1.94e-02","7.01e-02"
"1021","COL6A1",0.3,"1.95e-02","7.01e-02"
"225","MCM2",-0.3,"1.96e-02","7.01e-02"
"953","CYP2S1",-0.3,"1.97e-02","7.02e-02"
"26","TMEM54",-0.3,"2e-02","7.13e-02"
"334","HMMR",-0.3,"2.03e-02","7.19e-02"
"104","G0S2",-0.3,"2.04e-02","7.21e-02"
"1041","PDGFB",0.3,"2.21e-02","7.78e-02"
"826","AC007906.2",-0.29,"2.23e-02","7.81e-02"
"836","NQO1",-0.29,"2.23e-02","7.81e-02"
"3","VWA1",-0.29,"2.28e-02","7.87e-02"
"153","MCM6",-0.29,"2.28e-02","7.87e-02"
"209","WNT5A",0.29,"2.28e-02","7.87e-02"
"386","SESN1",0.29,"2.28e-02","7.87e-02"
"810","ARL6IP1",-0.29,"2.33e-02","8.01e-02"
"770","NUSAP1",-0.29,"2.35e-02","8.06e-02"
"446","MET",-0.29,"2.38e-02","8.11e-02"
"801","CCNF",-0.29,"2.39e-02","8.11e-02"
"414","MACC1",0.29,"2.4e-02","8.13e-02"
"999","UBE2C",-0.29,"2.41e-02","8.13e-02"
"555","ZWINT",-0.29,"2.45e-02","8.24e-02"
"80","FCGR2A",-0.29,"2.46e-02","8.24e-02"
"341","FOXQ1",-0.29,"2.47e-02","8.26e-02"
"978","PLCB4",-0.29,"2.48e-02","8.27e-02"
"505","PTPRD",-0.29,"2.54e-02","8.45e-02"
"258","CXCL8",-0.29,"2.55e-02","8.45e-02"
"1032","SLC5A1",-0.29,"2.61e-02","8.60e-02"
"77","IFI16",0.29,"2.63e-02","8.62e-02"
"248","CD38",0.29,"2.63e-02","8.62e-02"
"863","TMEM97",-0.29,"2.66e-02","8.71e-02"
"830","MT1G",0.29,"2.69e-02","8.76e-02"
"758","CRIP2",-0.29,"2.7e-02","8.78e-02"
"952","ITPKC",-0.28,"2.74e-02","8.86e-02"
"790","ISG20",-0.28,"2.76e-02","8.90e-02"
"399","RAB32",-0.28,"2.78e-02","8.90e-02"
"581","MKI67",-0.28,"2.78e-02","8.90e-02"
"471","TCIM",-0.28,"2.79e-02","8.92e-02"
"647","TRIM29",-0.28,"2.87e-02","9.13e-02"
"946","RHPN2",-0.28,"2.93e-02","9.30e-02"
"1044","TYMP",-0.28,"2.97e-02","9.40e-02"
"989","FAM83D",-0.28,"2.98e-02","9.40e-02"
"1036","APOL1",-0.28,"2.99e-02","9.40e-02"
"35","DHCR24",-0.28,"3.01e-02","9.44e-02"
"701","ATP12A",-0.28,"3.03e-02","9.48e-02"
"644","H2AFX",-0.28,"3.06e-02","9.53e-02"
"851","FANCA",-0.28,"3.13e-02","9.72e-02"
"15","C1QB",0.28,"3.18e-02","9.85e-02"
"928","FUT3",-0.28,"3.27e-02","1.01e-01"
"331","SPARC",0.28,"3.3e-02","1.01e-01"
"1058","SLC6A14",-0.28,"3.31e-02","1.01e-01"
"424","POLD2",-0.27,"3.35e-02","1.02e-01"
"143","IL1R1",0.27,"3.4e-02","1.04e-01"
"115","LYPD8",0.27,"3.44e-02","1.04e-01"
"977","BMP2",-0.27,"3.44e-02","1.04e-01"
"395","SGK1",-0.27,"3.45e-02","1.04e-01"
"792","MFGE8",0.27,"3.47e-02","1.05e-01"
"893","RNF43",-0.27,"3.5e-02","1.05e-01"
"927","UHRF1",-0.27,"3.5e-02","1.05e-01"
"734","SFTA3",0.27,"3.51e-02","1.05e-01"
"741","DLGAP5",-0.27,"3.54e-02","1.05e-01"
"304","CCNB1",-0.27,"3.56e-02","1.05e-01"
"456","EZH2",-0.27,"3.65e-02","1.08e-01"
"404","ACAT2",-0.27,"3.67e-02","1.08e-01"
"512","MELK",-0.27,"3.68e-02","1.08e-01"
"381","TTK",-0.27,"3.73e-02","1.09e-01"
"423","AEBP1",0.27,"3.76e-02","1.10e-01"
"150","IL1RN",-0.27,"3.83e-02","1.12e-01"
"308","EDIL3",0.27,"3.89e-02","1.13e-01"
"805","ABAT",0.27,"3.91e-02","1.13e-01"
