"","Feature   ","rho   ","p-value   ","FDR   "
"929","C3",-0.27,"3.93e-02","1.14e-01"
"936","ASF1B",-0.27,"3.94e-02","1.14e-01"
"587","CTSD",0.27,"3.96e-02","1.14e-01"
"533","COL5A1",0.26,"4.1e-02","1.17e-01"
"247","HTRA3",0.26,"4.13e-02","1.18e-01"
"234","SMC4",-0.26,"4.21e-02","1.20e-01"
"900","SOX9",-0.26,"4.24e-02","1.20e-01"
"899","KPNA2",-0.26,"4.25e-02","1.20e-01"
"29","CDC20",-0.26,"4.36e-02","1.23e-01"
"740","BMP4",-0.26,"4.37e-02","1.23e-01"
"762","IGHG3",0.26,"4.39e-02","1.23e-01"
"1001","MMP9",0.26,"4.42e-02","1.24e-01"
"466","LOXL2",0.26,"4.47e-02","1.25e-01"
"570","CEP55",-0.26,"4.59e-02","1.28e-01"
"344","TXNDC5",-0.26,"4.6e-02","1.28e-01"
"475","SNAI2",0.26,"4.62e-02","1.28e-01"
"1028","GGT5",0.26,"4.62e-02","1.28e-01"
"406","THBS2",0.26,"4.64e-02","1.28e-01"
"126","EPAS1",-0.26,"4.65e-02","1.28e-01"
"628","BIRC3",-0.26,"4.68e-02","1.28e-01"
"835","HSD11B2",-0.26,"4.7e-02","1.29e-01"
"1052","GPR34",0.26,"4.72e-02","1.29e-01"
"16","ID3",-0.26,"4.75e-02","1.29e-01"
"244","SPON2",0.26,"4.77e-02","1.29e-01"
"447","CPED1",0.26,"4.77e-02","1.29e-01"
"748","DIO2",-0.26,"4.81e-02","1.30e-01"
"791","HAPLN3",-0.26,"4.88e-02","1.31e-01"
"728","MMP14",-0.25,"5.01e-02","1.34e-01"
"342","SERPINB9",-0.25,"5.06e-02","1.35e-01"
"751","BDKRB2",-0.25,"5.06e-02","1.35e-01"
"884","ETV4",-0.25,"5.2e-02","1.38e-01"
"453","CALD1",0.25,"5.28e-02","1.40e-01"
"843","CRISPLD2",0.25,"5.34e-02","1.41e-01"
"17","FUCA1",-0.25,"5.38e-02","1.42e-01"
"131","ANTXR1",0.25,"5.45e-02","1.43e-01"
"94","ASPM",-0.25,"5.46e-02","1.43e-01"
"789","CEMIP",-0.25,"5.48e-02","1.43e-01"
"800","PGP",-0.25,"5.53e-02","1.45e-01"
"270","SPP1",0.25,"5.58e-02","1.45e-01"
"675","ITPR2",0.25,"5.74e-02","1.49e-01"
"847","CDT1",-0.25,"5.75e-02","1.49e-01"
"253","GABRB1",0.25,"5.79e-02","1.50e-01"
"338","CPEB4",-0.25,"5.8e-02","1.50e-01"
"1035","MCM5",-0.25,"5.86e-02","1.51e-01"
"894","PRR11",-0.25,"5.88e-02","1.51e-01"
"36","PCSK9",-0.24,"5.95e-02","1.52e-01"
"802","PRSS22",-0.24,"5.97e-02","1.52e-01"
"523","TNC",0.24,"5.99e-02","1.52e-01"
"202","SLC6A20",-0.24,"6.03e-02","1.53e-01"
"201","TMEM158",-0.24,"6.04e-02","1.53e-01"
"727","SLC7A7",-0.24,"6.2e-02","1.57e-01"
"10","PLA2G2A",-0.24,"6.24e-02","1.57e-01"
"167","ITGA4",0.24,"6.33e-02","1.59e-01"
"624","WNT11",-0.24,"6.34e-02","1.59e-01"
"427","IKZF1",-0.24,"6.37e-02","1.59e-01"
"771","WDR76",-0.24,"6.41e-02","1.59e-01"
"639","TAGLN",0.24,"6.43e-02","1.59e-01"
"664","CD163",0.24,"6.43e-02","1.59e-01"
"833","CDH11",0.24,"6.43e-02","1.59e-01"
"205","SEMA3F",0.24,"6.46e-02","1.60e-01"
"219","FSTL1",0.24,"6.5e-02","1.60e-01"
"145","ST6GAL2",0.24,"6.68e-02","1.64e-01"
"196","NUP210",-0.24,"6.76e-02","1.66e-01"
"858","CD68",-0.24,"6.82e-02","1.67e-01"
"919","EMILIN2",0.24,"6.84e-02","1.67e-01"
"886","HOXB3",0.24,"6.94e-02","1.69e-01"
"710","LCP1",-0.24,"6.99e-02","1.70e-01"
"605","FAM111B",-0.24,"7.06e-02","1.71e-01"
"252","KLHL5",0.23,"7.26e-02","1.75e-01"
"316","IRF1",-0.23,"7.37e-02","1.78e-01"
"557","SRGN",-0.23,"7.39e-02","1.78e-01"
"222","MYLK",0.23,"7.41e-02","1.78e-01"
"864","ALDOC",-0.23,"7.44e-02","1.78e-01"
"112","GNG4",-0.23,"7.52e-02","1.79e-01"
"214","FILIP1L",-0.23,"7.53e-02","1.79e-01"
"361","LTB",-0.23,"7.62e-02","1.81e-01"
"724","MCF2L",0.23,"7.64e-02","1.81e-01"
"939","KLF2",-0.23,"7.64e-02","1.81e-01"
"85","SELL",-0.23,"7.69e-02","1.81e-01"
"411","SOSTDC1",0.23,"7.69e-02","1.81e-01"
"686","LYZ",-0.23,"7.71e-02","1.81e-01"
"461","NCAPG2",-0.23,"7.86e-02","1.84e-01"
"281","FHDC1",0.23,"7.89e-02","1.84e-01"
"678","SLC11A2",-0.23,"7.95e-02","1.85e-01"
"1029","XBP1",-0.23,"8e-02","1.86e-01"
"185","TM4SF20",-0.23,"8.03e-02","1.86e-01"
"697","OAS2",-0.23,"8.08e-02","1.87e-01"
"300","ITGA1",-0.23,"8.14e-02","1.88e-01"
"542","ITIH5",0.23,"8.3e-02","1.91e-01"
"547","PLXDC2",0.23,"8.3e-02","1.91e-01"
"100","PIGR",-0.23,"8.35e-02","1.92e-01"
"966","IL4I1",-0.23,"8.37e-02","1.92e-01"
"709","EPSTI1",-0.22,"8.47e-02","1.94e-01"
"394","CCN2",-0.22,"8.54e-02","1.95e-01"
"314","SNCAIP",0.22,"8.74e-02","1.99e-01"
"600","LRP4",-0.22,"8.79e-02","2.00e-01"
"418","GGCT",-0.22,"8.95e-02","2.03e-01"
"412","AGR2",0.22,"9.07e-02","2.05e-01"
"443","IMMP2L",0.22,"9.16e-02","2.06e-01"
"680","KRT80",-0.22,"9.19e-02","2.07e-01"
"1010","MAP3K7CL",0.22,"9.21e-02","2.07e-01"
"460","INSIG1",-0.22,"9.23e-02","2.07e-01"
"149","IL1B",-0.22,"9.33e-02","2.08e-01"
"635","ZBTB16",0.22,"9.5e-02","2.12e-01"
"34","PODN",0.21,"9.98e-02","2.14e-01"
"43","ADGRL4",0.21,"9.98e-02","2.14e-01"
"55","CSF1",-0.21,"9.98e-02","2.14e-01"
"95","LMOD1",0.21,"9.98e-02","2.14e-01"
"168","CALCRL",0.21,"9.98e-02","2.14e-01"
"169","TFPI",0.21,"9.98e-02","2.14e-01"
"285","CPE",0.21,"9.98e-02","2.14e-01"
"327","PDGFRB",0.21,"9.98e-02","2.14e-01"
"340","ADAMTS2",0.21,"9.98e-02","2.14e-01"
"387","LAMA4",0.21,"9.98e-02","2.14e-01"
"410","FSCN1",0.21,"9.98e-02","2.14e-01"
"493","COL14A1",0.21,"9.98e-02","2.14e-01"
"541","SFMBT2",0.21,"9.98e-02","2.14e-01"
"576","DUSP5",-0.21,"9.98e-02","2.14e-01"
"645","MCAM",-0.21,"9.98e-02","2.14e-01"
"659","VWF",0.21,"9.98e-02","2.14e-01"
"665","C3AR1",0.21,"9.98e-02","2.14e-01"
"874","PLXDC1",0.21,"9.98e-02","2.14e-01"
"408","PDGFA",-0.21,"1e-01","2.14e-01"
"162","SP5",-0.21,"1.04e-01","2.21e-01"
"355","HIST1H1D",-0.21,"1.04e-01","2.21e-01"
"142","IGKC",0.21,"1.06e-01","2.25e-01"
"470","ADGRA2",0.21,"1.07e-01","2.28e-01"
"109","CAPN8",-0.21,"1.09e-01","2.30e-01"
"155","ARHGAP15",-0.21,"1.09e-01","2.31e-01"
"528","ENG",-0.21,"1.1e-01","2.31e-01"
"730","STXBP6",-0.21,"1.1e-01","2.31e-01"
"824","ORC6",-0.21,"1.1e-01","2.31e-01"
"975","PCNA",-0.21,"1.1e-01","2.31e-01"
"135","REG1A",-0.21,"1.11e-01","2.32e-01"
"289","ANKRD37",-0.21,"1.11e-01","2.32e-01"
"88","LAMC2",-0.21,"1.12e-01","2.32e-01"
"562","DDIT4",-0.21,"1.13e-01","2.34e-01"
"693","PLXNC1",-0.21,"1.13e-01","2.34e-01"
"1056","NOX1",-0.21,"1.13e-01","2.34e-01"
"87","LAMC1",-0.21,"1.15e-01","2.37e-01"
"539","NET1",0.2,"1.16e-01","2.38e-01"
"832","HERPUD1",-0.21,"1.16e-01","2.38e-01"
"941","BST2",0.21,"1.16e-01","2.38e-01"
"24","FABP3",-0.2,"1.17e-01","2.39e-01"
"310","ELL2",0.2,"1.18e-01","2.41e-01"
"40","AK4",-0.2,"1.2e-01","2.45e-01"
"759","CRIP1",0.2,"1.2e-01","2.44e-01"
"353","HIST1H1E",-0.2,"1.21e-01","2.45e-01"
"147","MALL",-0.2,"1.23e-01","2.49e-01"
"256","SULT1B1",-0.2,"1.23e-01","2.49e-01"
"781","CA12",-0.2,"1.24e-01","2.50e-01"
"613","FEN1",-0.2,"1.25e-01","2.51e-01"
"452","AKR1B1",0.2,"1.3e-01","2.61e-01"
"569","IFIT3",-0.2,"1.3e-01","2.61e-01"
"278","SLC7A11",-0.2,"1.31e-01","2.62e-01"
"568","LIPA",0.2,"1.31e-01","2.62e-01"
"525","STOM",-0.2,"1.32e-01","2.63e-01"
"960","APOC2",0.2,"1.33e-01","2.65e-01"
"173","C2orf88",-0.2,"1.34e-01","2.65e-01"
"422","INHBA",0.2,"1.34e-01","2.65e-01"
"434","PDK4",0.2,"1.34e-01","2.65e-01"
"526","OLFML2A",0.2,"1.34e-01","2.65e-01"
"90","PTGS2",-0.2,"1.35e-01","2.66e-01"
"326","CSF1R",0.2,"1.35e-01","2.66e-01"
"156","ZEB2",0.19,"1.36e-01","2.68e-01"
"793","FANCI",-0.19,"1.37e-01","2.68e-01"
"296","OSMR",0.19,"1.39e-01","2.71e-01"
"481","TRPA1",0.19,"1.41e-01","2.73e-01"
"757","GPR132",-0.19,"1.41e-01","2.73e-01"
"283","SFRP2",-0.19,"1.42e-01","2.73e-01"
"437","PCOLCE",0.19,"1.42e-01","2.73e-01"
"518","ASPN",0.19,"1.42e-01","2.73e-01"
"672","MGP",-0.19,"1.42e-01","2.73e-01"
"720","ITGBL1",0.19,"1.42e-01","2.73e-01"
"895","CA4",-0.19,"1.42e-01","2.73e-01"
"42","IFI44",-0.19,"1.43e-01","2.73e-01"
"277","PCDH18",-0.19,"1.43e-01","2.73e-01"
"416","GPNMB",0.19,"1.43e-01","2.73e-01"
"595","DKK3",-0.19,"1.43e-01","2.73e-01"
"146","EDAR",-0.19,"1.44e-01","2.74e-01"
"239","EPHB3",0.19,"1.45e-01","2.76e-01"
"311","RGMB",0.19,"1.45e-01","2.75e-01"
"717","KCTD12",-0.19,"1.45e-01","2.75e-01"
"221","EAF2",-0.19,"1.46e-01","2.76e-01"
"257","JCHAIN",-0.19,"1.47e-01","2.77e-01"
"721","EFNB2",-0.19,"1.48e-01","2.78e-01"
"938","NOTCH3",0.19,"1.49e-01","2.80e-01"
"44","CCN1",0.19,"1.51e-01","2.84e-01"
"322","CD14",0.19,"1.53e-01","2.88e-01"
"486","CCNE2",-0.19,"1.54e-01","2.89e-01"
"2","MXRA8",0.18,"1.6e-01","2.98e-01"
"489","MATN2",0.18,"1.61e-01","3.00e-01"
"593","ADM",-0.18,"1.61e-01","3.00e-01"
"995","SLPI",-0.18,"1.65e-01","3.06e-01"
"208","CACNA1D",0.18,"1.66e-01","3.07e-01"
"439","SERPINE1",0.18,"1.66e-01","3.07e-01"
"216","PHLDB2",0.18,"1.67e-01","3.08e-01"
"849","CPNE7",-0.18,"1.67e-01","3.08e-01"
"22","THEMIS2",-0.18,"1.69e-01","3.11e-01"
"282","TLR2",-0.18,"1.69e-01","3.11e-01"
"646","THY1",0.18,"1.71e-01","3.13e-01"
"129","MEIS1",0.18,"1.72e-01","3.15e-01"
"383","PM20D2",-0.18,"1.76e-01","3.21e-01"
"371","CDKN1A",-0.18,"1.78e-01","3.24e-01"
"885","ITGB3",0.18,"1.79e-01","3.25e-01"
"544","FAM107B",-0.18,"1.8e-01","3.26e-01"
"760","IGHA1",-0.18,"1.8e-01","3.26e-01"
"705","RFC3",-0.17,"1.81e-01","3.28e-01"
"179","IGFBP5",0.17,"1.85e-01","3.35e-01"
"193","MLPH",-0.17,"1.87e-01","3.38e-01"
"164","WIPF1",0.17,"1.89e-01","3.41e-01"
"375","PLA2G7",0.17,"1.9e-01","3.42e-01"
"490","CTHRC1",-0.17,"1.9e-01","3.41e-01"
"855","SPNS2",-0.17,"1.91e-01","3.42e-01"
"287","HMGB2",-0.17,"1.92e-01","3.42e-01"
"888","HOXB9",-0.17,"1.92e-01","3.42e-01"
"501","BOP1",-0.17,"1.93e-01","3.42e-01"
"784","KIF23",-0.17,"1.93e-01","3.42e-01"
"658","FOXM1",-0.17,"1.94e-01","3.42e-01"
"52","COL11A1",0.17,"1.96e-01","3.42e-01"
"224","HEG1",-0.17,"1.96e-01","3.42e-01"
"250","LDB2",0.17,"1.96e-01","3.42e-01"
"362","LST1",-0.17,"1.96e-01","3.42e-01"
"421","SFRP4",0.17,"1.96e-01","3.42e-01"
"550","NRP1",0.17,"1.96e-01","3.42e-01"
"787","ISLR",0.17,"1.96e-01","3.42e-01"
"854","ATP2A3",0.17,"1.96e-01","3.42e-01"
"930","MYO1F",-0.17,"1.96e-01","3.42e-01"
"965","CD37",0.17,"1.96e-01","3.42e-01"
"940","PLVAP",0.17,"1.98e-01","3.44e-01"
"313","LOX",-0.17,"2.01e-01","3.49e-01"
"37","PLPP3",0.17,"2.03e-01","3.52e-01"
"662","C1S",-0.17,"2.03e-01","3.51e-01"
"428","MLXIPL",0.17,"2.04e-01","3.53e-01"
"97","BTG2",0.17,"2.07e-01","3.57e-01"
"230","RBP1",-0.17,"2.07e-01","3.57e-01"
"626","FZD4",0.16,"2.12e-01","3.64e-01"
"809","MYH11",-0.16,"2.12e-01","3.64e-01"
"306","CKMT2",-0.16,"2.13e-01","3.64e-01"
"769","DLL4",0.16,"2.13e-01","3.64e-01"
"157","NR4A2",-0.16,"2.15e-01","3.67e-01"
"220","HCLS1",-0.16,"2.15e-01","3.67e-01"
"53","GPSM2",0.16,"2.17e-01","3.68e-01"
"397","MAP7",-0.16,"2.17e-01","3.68e-01"
"982","CST7",-0.16,"2.18e-01","3.70e-01"
"986","MYL9",0.16,"2.21e-01","3.75e-01"
"967","KLK1",0.16,"2.22e-01","3.75e-01"
"420","NPSR1",-0.16,"2.23e-01","3.77e-01"
"204","COL7A1",0.16,"2.25e-01","3.79e-01"
"610","MS4A7",0.16,"2.26e-01","3.80e-01"
"1038","RAC2",-0.16,"2.26e-01","3.80e-01"
"175","STK17B",-0.16,"2.28e-01","3.82e-01"
"857","XAF1",-0.16,"2.3e-01","3.85e-01"
"689","PHLDA1",0.16,"2.32e-01","3.87e-01"
"543","CCDC3",0.16,"2.33e-01","3.88e-01"
"30","KIF2C",-0.16,"2.35e-01","3.91e-01"
"715","DACH1",-0.15,"2.37e-01","3.94e-01"
"745","PGF",0.15,"2.37e-01","3.94e-01"
"661","ENO2",-0.15,"2.43e-01","4.02e-01"
"1057","TSC22D3",-0.15,"2.43e-01","4.02e-01"
"819","CORO1A",-0.15,"2.44e-01","4.03e-01"
"329","SYNPO",0.15,"2.46e-01","4.06e-01"
"627","CTSC",-0.15,"2.47e-01","4.06e-01"
"11","VWA5B1",-0.15,"2.55e-01","4.19e-01"
"1037","CSF2RB",-0.15,"2.55e-01","4.19e-01"
"718","ABCC4",0.15,"2.56e-01","4.19e-01"
"560","PSAP",-0.15,"2.6e-01","4.26e-01"
"60","HMGCS2",0.15,"2.63e-01","4.28e-01"
"454","TRBC1",0.15,"2.63e-01","4.28e-01"
"642","JAML",0.15,"2.63e-01","4.28e-01"
"719","GPR183",0.15,"2.63e-01","4.28e-01"
"744","LTBP2",0.15,"2.63e-01","4.28e-01"
"305","MAP1B",0.14,"2.69e-01","4.36e-01"
"723","COL4A2",0.14,"2.69e-01","4.36e-01"
"116","PXDN",-0.14,"2.71e-01","4.37e-01"
"469","CLU",0.14,"2.71e-01","4.37e-01"
"245","TACC3",-0.14,"2.72e-01","4.37e-01"
"451","PODXL",0.14,"2.72e-01","4.37e-01"
"6","PDPN",-0.14,"2.73e-01","4.37e-01"
"284","PDGFC",-0.14,"2.73e-01","4.37e-01"
"370","BNIP5",-0.14,"2.73e-01","4.37e-01"
"881","KRT40",0.14,"2.74e-01","4.38e-01"
"468","ADAMDEC1",0.14,"2.78e-01","4.44e-01"
"171","COL5A2",0.14,"2.8e-01","4.45e-01"
"119","RRM2",-0.14,"2.82e-01","4.49e-01"
"69","S100A4",0.14,"2.83e-01","4.49e-01"
"271","ADH1C",0.14,"2.84e-01","4.51e-01"
"566","CDHR1",0.14,"2.85e-01","4.51e-01"
"438","MUC17",-0.14,"2.86e-01","4.52e-01"
"159","ITGB6",-0.14,"2.87e-01","4.52e-01"
"652","VWA5A",0.14,"2.87e-01","4.52e-01"
"396","MYB",0.14,"2.88e-01","4.53e-01"
"431","FGL2",-0.14,"2.9e-01","4.56e-01"
"870","SLFN5",-0.14,"2.92e-01","4.58e-01"
"429","ELN",-0.14,"2.93e-01","4.59e-01"
"266","CXCL10",-0.14,"2.95e-01","4.60e-01"
"786","LOXL1",0.14,"3e-01","4.67e-01"
"795","SNRNP25",-0.14,"3e-01","4.68e-01"
"596","RASSF10",0.13,"3.04e-01","4.73e-01"
"136","TRABD2A",-0.13,"3.06e-01","4.76e-01"
"325","SLC26A2",-0.13,"3.08e-01","4.76e-01"
"612","SLC15A3",0.13,"3.08e-01","4.76e-01"
"1048","PRPS2",-0.13,"3.08e-01","4.76e-01"
"761","IGHG1",0.13,"3.1e-01","4.79e-01"
"545","VIM",0.13,"3.13e-01","4.82e-01"
"829","MT1F",0.13,"3.14e-01","4.82e-01"
"796","MSLN",-0.13,"3.15e-01","4.84e-01"
"594","MRVI1",0.13,"3.16e-01","4.84e-01"
"926","SEC11C",-0.13,"3.16e-01","4.84e-01"
"502","RECQL4",-0.13,"3.17e-01","4.84e-01"
"14","C1QC",-0.13,"3.18e-01","4.84e-01"
"607","CBLIF",-0.13,"3.18e-01","4.84e-01"
"704","ALOX5AP",0.13,"3.19e-01","4.85e-01"
"1031","EMID1",-0.13,"3.2e-01","4.86e-01"
"1053","MAOA",0.13,"3.23e-01","4.90e-01"
"776","FBN1",0.13,"3.24e-01","4.90e-01"
"1055","PIM2",-0.13,"3.24e-01","4.90e-01"
"302","GZMA",-0.13,"3.26e-01","4.92e-01"
"349","ID4",-0.13,"3.28e-01","4.94e-01"
"181","DES",-0.13,"3.3e-01","4.97e-01"
"485","CDH17",-0.13,"3.3e-01","4.97e-01"
"551","CXCL12",-0.13,"3.32e-01","4.97e-01"
"643","CD3D",-0.13,"3.32e-01","4.97e-01"
"951","FCGBP",-0.13,"3.32e-01","4.97e-01"
"1020","COL18A1",0.13,"3.36e-01","5.01e-01"
"943","IFI30",0.13,"3.37e-01","5.01e-01"
"812","ACSM3",0.13,"3.4e-01","5.01e-01"
"413","AGR3",-0.13,"3.41e-01","5.01e-01"
"768","PHGR1",-0.13,"3.41e-01","5.01e-01"
"66","CGN",-0.12,"3.43e-01","5.01e-01"
"563","PLAU",0.12,"3.43e-01","5.01e-01"
"763","IGHM",-0.12,"3.43e-01","5.01e-01"
"48","GBP5",-0.12,"3.45e-01","5.01e-01"
"59","TENT5C",0.12,"3.45e-01","5.01e-01"
"152","LIMS2",0.12,"3.45e-01","5.01e-01"
"279","EDNRA",0.12,"3.45e-01","5.01e-01"
"458","GIMAP4",-0.12,"3.45e-01","5.01e-01"
"546","MRC1",-0.12,"3.45e-01","5.01e-01"
"818","ZG16",0.12,"3.45e-01","5.01e-01"
"839","PLCG2",-0.12,"3.45e-01","5.01e-01"
"861","MFAP4",0.12,"3.45e-01","5.01e-01"
"871","SLFN11",-0.12,"3.45e-01","5.01e-01"
"981","CD93",0.12,"3.45e-01","5.01e-01"
"990","MAFB",-0.12,"3.45e-01","5.01e-01"
"86","RGS16",-0.12,"3.48e-01","5.05e-01"
"108","CENPF",-0.12,"3.53e-01","5.12e-01"
"358","UBD",-0.12,"3.57e-01","5.17e-01"
"711","RUBCNL",-0.12,"3.62e-01","5.23e-01"
"703","FLT1",-0.12,"3.63e-01","5.23e-01"
"987","SAMHD1",-0.12,"3.63e-01","5.23e-01"
"99","RASSF5",-0.12,"3.7e-01","5.32e-01"
